species_folder,chosen_wnid,opt1_wnid,opt1_labels,opt1_definition,opt2_wnid,opt2_labels,opt2_definition,opt3_wnid,opt3_labels,opt3_definition,opt4_wnid,opt4_labels,opt4_definition,opt5_wnid,opt5_labels,opt5_definition,opt6_wnid,opt6_labels,opt6_definition
buffalo,n02410702,n02410702,"American_bison, American_buffalo, buffalo, Bison_bison",large shaggy-haired brown bison of North American plains,n02407959,"Old_World_buffalo, buffalo","any of several Old World animals resembling oxen including, e.g., water buffalo; Cape buffalo",n07663492,buffalo,meat from an American bison,n09118505,Buffalo,a city on Lake Erie in western New York (near Niagara Falls),,,,,,
butterfly,n02274259,n02274259,butterfly,diurnal insect typically having a slender body with knobbed antennae and broad colorful wings,n00570854,"butterfly, butterfly_stroke",a swimming stroke in which the arms are thrown forward together out of the water while the feet kick up and down,,,,,,,,,,,,
camel,n02437136,n02437136,camel,cud-chewing mammal used as a draft or saddle animal in desert regions,,,,,,,,,,,,,,,
cardinal,n01541386,n01541386,"cardinal, cardinal_grosbeak, Richmondena_Cardinalis, Cardinalis_cardinalis, redbird",crested thick-billed North American finch having bright red plumage in the male,n09894143,cardinal,(Roman Catholic Church) one of a group of more than 100 prominent bishops in the Sacred College who advise the Pope and elect new Popes,n04963449,"cardinal, carmine",a variable color averaging a vivid red,n13597585,"cardinal_number, cardinal",the number of elements in a mathematical set; denotes a quantity but not the order,,,,,,
cat,n02121620,n09900153,cat,a spiteful woman gossip,n10153414,"guy, cat, hombre, bozo",an informal term for a youth or man,n02127808,"big_cat, cat",any of several large cats typically able to roar and living in the wild,n02121620,"cat, true_cat",feline mammal usually having thick soft fur and no ability to roar: domestic cats; wildcats,n02985606,"cat-o'-nine-tails, cat",a whip with nine knotted cords,n03608870,"kat, khat, qat, quat, cat, Arabian_tea, African_tea",the leaves of the shrub Catha edulis which are chewed like tobacco or used to make tea; has the effect of a euphoric stimulant
chameleon,n01693783,n09906449,chameleon,a changeable or inconstant person,n01693783,"chameleon, chamaeleon",lizard of Africa and Madagascar able to change skin color and having a projectile tongue,n09240889,"Chamaeleon, Chameleon",a faint constellation in the polar region of the southern hemisphere near Apus and Mensa,,,,,,,,,
chipmunk,n02360282,n02360282,chipmunk,a burrowing ground squirrel of western America and Asia; has cheek pouches and a light and dark stripe running down the body,,,,,,,,,,,,,,,
cicada,n02256656,n02256656,"cicada, cicala",stout-bodied insect with large membranous wings; male has drum-like organs for producing a high-pitched drone,,,,,,,,,,,,,,,
cockroach,n02233338,n02233338,"cockroach, roach",any of numerous chiefly nocturnal insects; some are domestic pests,,,,,,,,,,,,,,,
cow,n02403454,n09972587,cow,a large unpleasant woman,n02403454,"cow, moo-cow",female of domestic cattle:,n01887787,cow,mature female of mammals of which the male is called `bull',n02402425,"cattle, cows, kine, oxen, Bos_taurus",domesticated bovine animals as a group regardless of sex or age; ; ; - Bible,,,,,,
crab,n01976957,n09974054,"crab, crabby_person",a quarrelsome grouch,n02185167,"crab_louse, pubic_louse, crab, Phthirius_pubis",a louse that infests the pubic region of the human body,n09752657,"Cancer, Crab",(astrology) a person who is born while the sun is in Cancer,n01976957,crab,decapod having eyes on short stalks and a broad flattened carapace with a small abdomen folded under the thorax and pincers,n07787715,"crab, crabmeat",the edible flesh of any of various crabs,n14454874,"pediculosis_pubis, crabs",infestation of the pubic hair by crab lice
crane,n02012849,n02012849,crane,large long-necked wading bird of marshes and plains in many parts of the world,n10914331,"Crane, Hart_Crane, Harold_Hart_Crane",United States poet (1899-1932),n10914447,"Crane, Stephen_Crane",United States writer (1871-1900),n09295455,"Grus, Crane",a small constellation in the southern hemisphere near Phoenix,n03126707,crane,lifts and moves heavy objects; lifting tackle is suspended from a pivoted boom that rotates around a vertical axis,,,
cricket,n02229544,n02229544,cricket,leaping insect; male makes chirping noises by rubbing the forewings together,n00476389,cricket,a game played with a ball and bat by two teams of 11 players; teams take turns trying to score runs,,,,,,,,,,,,
crocodile,n01697178,n01697178,crocodile,large voracious aquatic reptile having a long snout with massive jaws and sharp teeth and a body covered with bony plates; of sluggish tropical waters,,,,,,,,,,,,,,,
deer,n02430045,n02430045,"deer, cervid",distinguished from Bovidae by the male's having solid deciduous antlers,,,,,,,,,,,,,,,
dog,n02084071,n10023039,dog,informal term for a man,n09886220,"cad, bounder, blackguard, dog, hound, heel",someone who is morally reprehensible,n10114209,"frump, dog",a dull unattractive unpleasant girl or woman,n02084071,"dog, domestic_dog, Canis_familiaris",a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds,n02710044,"andiron, firedog, dog, dog-iron",metal supports for logs in a fireplace,n07676602,"frank, frankfurter, hotdog, hot_dog, dog, wiener, wienerwurst, weenie",a smooth-textured sausage of minced beef or pork usually smoked; often served on a bread roll
dolphin,n02581957,n02581957,"dolphinfish, dolphin, mahimahi",large slender food and game fish widely distributed in warm seas (especially around Hawaii),n02068974,dolphin,any of various small toothed whales with a beaklike snout; larger than porpoises,,,,,,,,,,,,
dragonfly,n02268443,n02268443,"dragonfly, darning_needle, devil's_darning_needle, sewing_needle, snake_feeder, snake_doctor, mosquito_hawk, skeeter_hawk",slender-bodied non-stinging insect having iridescent wings that are outspread at rest; adults and nymphs feed on mosquitoes etc.,,,,,,,,,,,,,,,
duck,n01846331,n07646578,duck,flesh of a duck (domestic or wild),n01846331,duck,small wild or domesticated web-footed broad-billed swimming bird usually having a depressed body and short legs,n13595844,"duck, duck's_egg",(cricket) a score of nothing by a batsman,n03253071,duck,a heavy cotton fabric of plain weave; used for clothing and tents,,,,,,
eagle,n01613294,n01613294,"eagle, bird_of_Jove",any of various large keen-sighted diurnal birds of prey noted for their broad wings and strong soaring flight,n06881563,eagle,an emblem representing power,n13595968,eagle,(golf) a score of two strokes under par on a hole,n13392472,eagle,a former gold coin in the United States worth 10 dollars,,,,,,
elephant,n02503517,n02503517,elephant,five-toed pachyderm,n06881662,elephant,the symbol of the Republican Party; introduced in cartoons by Thomas Nast in 1874,,,,,,,,,,,,
fish,n02512053,n07775375,fish,the flesh of fish used as food,n09753792,"Pisces, Fish",(astrology) a person who is born while the sun is in Pisces,n02512053,fish,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills,n08688076,"Pisces, Pisces_the_Fishes, Fish",the twelfth sign of the zodiac; the sun is in this sign from about February 19 to March 20,,,,,,
fly,n02190166,n02190166,fly,two-winged insects characterized by active flight,n00128638,"fly, fly_ball",(baseball) a hit that flies up in the air,n03373237,fly,fisherman's lure consisting of a fishhook decorated to look like an insect,n04412097,"tent-fly, rainfly, fly_sheet, fly, tent_flap",flap consisting of a piece of canvas that can be drawn back to provide entrance to a tent,n03373060,"fly, fly_front",an opening in a garment that is closed by a zipper or by buttons concealed under a fold of cloth,,,
fox,n02118333,n10022759,"dodger, fox, slyboots",a shifty deceptive person,n02118333,fox,alert carnivorous mammal with pointed muzzle and ears and a bushy tail; most are predators that do not hunt in packs,n09655569,Fox,a member of an Algonquian people formerly living west of Lake Michigan along the Fox River,n06909848,Fox,the Algonquian language of the Fox,n14764910,fox,the grey or reddish-brown fur of a fox,n10976862,"Fox, George_Fox",English religious leader who founded the Society of Friends (1624-1691)
frog,n01639765,n09708648,"frog, Gaul",a person of French descent,n01639765,"frog, toad, toad_frog, anuran, batrachian, salientian",any of various tailless stout-bodied amphibians with long hind limbs for leaping; semiaquatic and terrestrial species,n03398382,frog,a decorative loop of braid or cord,,,,,,,,,
gerbil,n02343772,n02343772,"gerbil, gerbille",small Old World burrowing desert rodent with long soft pale fur and hind legs adapted for leaping,,,,,,,,,,,,,,,
giant anteater,n02460451,n02460451,"ant_bear, giant_anteater, great_anteater, tamanoir, Myrmecophaga_jubata",large shaggy-haired toothless anteater with long tongue and powerful claws; of South America,,,,,,,,,,,,,,,
giraffe,n02439033,n02439033,"giraffe, camelopard, Giraffa_camelopardalis",tallest living quadruped; having a spotted coat and small horns and very long neck and legs; of savannahs of tropical Africa,,,,,,,,,,,,,,,
gorilla,n02480855,n02480855,"gorilla, Gorilla_gorilla",largest anthropoid ape; terrestrial and vegetarian; of forests of central west Africa,,,,,,,,,,,,,,,
grasshopper,n02226429,n02226429,"grasshopper, hopper",terrestrial plant-eating insect with hind legs adapted for leaping,n07915213,grasshopper,a cocktail made of creme de menthe and cream (sometimes with creme de cacao),,,,,,,,,,,,
hamster,n02342885,n02342885,hamster,short-tailed Old World burrowing rodent with large cheek pouches,,,,,,,,,,,,,,,
hawk,n01605630,n10162644,"hawk, war_hawk",an advocate of an aggressive policy on foreign relations,n01605630,hawk,diurnal bird of prey typically having short rounded wings and a long tail,n03787164,"mortarboard, hawk",a square board with a handle underneath; used by masons to hold or carry mortar,,,,,,,,,
hedgehog,n02346627,n02346627,"porcupine, hedgehog",relatively large rodents with sharp erectile bristles mingled with the fur,n01893825,"hedgehog, Erinaceus_europaeus, Erinaceus_europeaeus",small nocturnal Old World mammal covered with both hair and protective spines,,,,,,,,,,,,
heron,n02008041,n02008041,heron,grey or white wading bird with long neck and long legs and (usually) long bill,n11045106,"Hero, Heron, Hero_of_Alexandria",Greek mathematician and inventor who devised a way to determine the area of a triangle and who described various mechanical devices (first century),,,,,,,,,,,,
hippo,n02398521,n02398521,"hippopotamus, hippo, river_horse, Hippopotamus_amphibius",massive thick-skinned herbivorous animal living in or around rivers of tropical Africa,n08707145,"Hippo, Hippo_Regius",an ancient Numidian town in northwestern Africa adjoining present-day Annaba in northeastern Algeria,,,,,,,,,,,,
horse,n02374451,n02374451,"horse, Equus_caballus",solid-hoofed herbivorous quadruped domesticated since prehistoric times,n03538037,"horse, gymnastic_horse",a padded gymnastic apparatus on legs,n08397856,"cavalry, horse_cavalry, horse",troops trained to fight on horseback,n04140631,"sawhorse, horse, sawbuck, buck",a framework for holding wood that is being sawed,n03624767,"knight, horse",a chessman shaped to resemble the head of a horse; can move two squares horizontally and one vertically (or vice versa),,,
hummingbird,n01833805,n01833805,hummingbird,tiny American bird having brilliant iridescent plumage and long slender bills; wings are specialized for vibrating flight,,,,,,,,,,,,,,,
insect,n02159955,n02159955,insect,small air-breathing arthropod,n10792028,"worm, louse, insect, dirt_ball",a person who has a nasty or unethical character undeserving of respect,,,,,,,,,,,,
kangaroo,n01877134,n01877134,kangaroo,any of several herbivorous leaping marsupials of Australia and New Guinea having large powerful hind legs and a long thick tail,,,,,,,,,,,,,,,
katydid,n02228341,n02228341,katydid,large green long-horned grasshopper of North America; males produce shrill sounds by rubbing together special organs on the forewings,,,,,,,,,,,,,,,
kingfisher,n01827403,n01827403,kingfisher,nonpasserine large-headed bird with a short tail and long sharp bill; usually crested and bright-colored; feed mostly on fish,,,,,,,,,,,,,,,
koala,n01882714,n01882714,"koala, koala_bear, kangaroo_bear, native_bear, Phascolarctos_cinereus",sluggish tailless Australian arboreal marsupial with grey furry ears and coat; feeds on eucalyptus leaves and bark,,,,,,,,,,,,,,,
leopard,n02128385,n02128385,"leopard, Panthera_pardus",large feline of African and Asian forests usually having a tawny coat with black spots,n14765422,leopard,the pelt of a leopard,,,,,,,,,,,,
lion,n02129165,n10265070,"lion, social_lion",a celebrity who is lionized (much sought after),n09752795,"Leo, Lion",(astrology) a person who is born while the sun is in Leo,n02129165,"lion, king_of_beasts, Panthera_leo",large gregarious predatory feline of Africa and India having a tawny coat with a shaggy mane in the male,n08686821,"Leo, Leo_the_Lion, Lion",the fifth sign of the zodiac; the sun is in this sign from about July 23 to August 22,,,,,,
lizard,n01674464,n01674464,lizard,relatively long-bodied reptile with usually two pairs of legs and a tapering tail,n10274474,"lounge_lizard, lizard",a man who idles about in the lounges of hotels and bars in search of women who would support him,,,,,,,,,,,,
lobster,n01982650,n01982650,lobster,any of several edible marine crustaceans of the families Homaridae and Nephropsidae and Palinuridae,n07792725,lobster,flesh of a lobster,,,,,,,,,,,,
mantis,n02236044,n02236044,"mantis, mantid",predacious long-bodied large-eyed insect of warm regions; rests with forelimbs raised as in prayer,,,,,,,,,,,,,,,
monkey,n02484322,n10200047,"imp, scamp, monkey, rascal, rapscallion, scalawag, scallywag",one who is playfully mischievous,n02484322,monkey,any of various long-tailed primates (excluding the prosimians),,,,,,,,,,,,
moth,n02283201,n02283201,moth,typically crepuscular or nocturnal insect having a stout body and feathery or hairlike antennae,,,,,,,,,,,,,,,
mouse,n02330245,n10335563,mouse,person who is quiet or timid,n02330245,mouse,any of numerous small rodents typically resembling diminutive rats having pointed snouts and small ears on elongated bodies with slender usually hairless tails,n14289387,"shiner, black_eye, mouse",a swollen bruise caused by a blow to the eye,n03793489,"mouse, computer_mouse",a hand-operated electronic device that controls the coordinates of a cursor on your computer screen as you move it around on a pad; on the bottom of the device is a ball that rolls on the surface of the pad,,,,,,
orangutan,n02480495,n02480495,"orangutan, orang, orangutang, Pongo_pygmaeus",large long-armed ape of Borneo and Sumatra having arboreal habits,,,,,,,,,,,,,,,
ostrich,n01518878,n01518878,"ostrich, Struthio_camelus",fast-running African flightless bird with two-toed feet; largest living bird,n10385707,ostrich,a person who refuses to face reality or recognize the truth (a reference to the popular notion that the ostrich hides from danger by burying its head in the sand),,,,,,,,,,,,
otter,n02444819,n02444819,otter,freshwater carnivorous mammal having webbed and clawed feet and dark brown fur,n14765785,otter,the fur of an otter,,,,,,,,,,,,
owl,n01621127,n01621127,"owl, bird_of_Minerva, bird_of_night, hooter",nocturnal bird of prey with hawk-like beak and claws and large head with front-facing eyes,,,,,,,,,,,,,,,
panda,n02510455,n02510455,"giant_panda, panda, panda_bear, coon_bear, Ailuropoda_melanoleuca",large black-and-white herbivorous mammal of bamboo forests of China and Tibet; in some classifications considered a member of the bear family or of a separate family Ailuropodidae,n02509815,"lesser_panda, red_panda, panda, bear_cat, cat_bear, Ailurus_fulgens",reddish-brown Old World raccoon-like carnivore; in some classifications considered unrelated to the giant pandas,,,,,,,,,,,,
parrot,n01816887,n10401331,parrot,a copycat who does not understand the words or acts being imitated,n01816887,parrot,usually brightly colored zygodactyl tropical birds with short hooked beaks and the ability to mimic sounds,,,,,,,,,,,,
peacock,n02279257,n02279257,"peacock, peacock_butterfly, Inachis_io",European butterfly having reddish-brown wings each marked with a purple eyespot,n01806143,peacock,male peafowl; having a crested head and very large fanlike tail marked with iridescent eyes or spots,,,,,,,,,,,,
pelican,n02051845,n02051845,pelican,large long-winged warm-water seabird having a large bill with a distensible pouch for fish,,,,,,,,,,,,,,,
penguin,n02055803,n02055803,penguin,short-legged flightless birds of cold southern especially Antarctic regions having webbed feet and wings modified as flippers,,,,,,,,,,,,,,,
pig,n02395406,n02395406,"hog, pig, grunter, squealer, Sus_scrofa",domestic swine,n10612210,"slob, sloven, pig, slovenly_person",a coarse obnoxious person,n09879144,"bull, cop, copper, fuzz, pig",uncomplimentary terms for a policeman,n10179649,"hog, pig",a person regarded as greedy and pig-like,n03935116,"pig_bed, pig",mold consisting of a bed of sand in which pig iron is cast,n03934998,pig,a crude block of metal (lead or iron) poured from a smelting furnace
prawn,n01987545,n01987545,prawn,shrimp-like decapod crustacean having two pairs of pincers; most are edible,n07794159,"prawn, shrimp",any of various edible decapod crustaceans,,,,,,,,,,,,
puffin,n02047614,n02047614,puffin,any of two genera of northern seabirds having short necks and brightly colored compressed bills,,,,,,,,,,,,,,,
rabbit,n02324045,n02324045,"rabbit, coney, cony",any of various burrowing animals of the family Leporidae having long ears and short tails; some domesticated and raised for pets or food,n14765324,"lapin, rabbit",the fur of a rabbit,n07666521,"rabbit, hare",flesh of any of various rabbits or hares (wild or domesticated) eaten as food,,,,,,,,,
raccoon,n02508021,n02508021,"raccoon, racoon",an omnivorous nocturnal mammal native to North America and Central America,n14765856,raccoon,the fur of the North American racoon,,,,,,,,,,,,
rat,n02331046,n10554455,"scab, strikebreaker, blackleg, rat",someone who works (or provides workers) during a strike,n10539715,"rotter, dirty_dog, rat, skunk, stinker, stinkpot, bum, puke, crumb, lowlife, scum_bag, so-and-so, git",a person who is deemed to be despicable or contemptible,n10206173,"informer, betrayer, rat, squealer, blabber",one who reveals confidential information in return for money,n02331046,rat,any of various long-tailed rodents similar to but larger than a mouse,n04055030,rat,a pad (usually made of hair) worn as part of a woman's coiffure,,,
rhinoceros,n02391994,n02391994,"rhinoceros, rhino",massive powerful herbivorous odd-toed ungulate of southeast Asia and Africa having very thick skin and one or two horns on the snout,,,,,,,,,,,,,,,
rooster,n01792158,n01792158,"cock, rooster",adult male chicken,,,,,,,,,,,,,,,
scorpion,n01770393,n09753204,"Scorpio, Scorpion",(astrology) a person who is born while the sun is in Scorpio,n01770393,scorpion,arachnid of warm dry regions having a long segmented tail ending in a venomous stinger,n08687345,"Scorpio, Scorpio_the_Scorpion, Scorpion",the eighth sign of the zodiac; the sun is in this sign from about October 23 to November 21,,,,,,,,,
seal,n02076196,n10348526,"Navy_SEAL, SEAL",a member of a Naval Special Warfare unit who is trained for unconventional warfare,n02076196,seal,any of numerous marine mammals that come on shore to breed; chiefly of cold regions,n06705984,"cachet, seal, seal_of_approval",an indication of approved or superior status,n04159545,seal,a finishing coat applied to exclude moisture,n04159354,seal,fastener that provides a tight and perfect closure,n14766040,"seal, sealskin",the pelt or fur (especially the underfur) of a seal
shark,n01482330,n10586674,shark,a person who is ruthless and greedy and dishonest,n10586557,shark,a person who is unusually skilled in certain ways,n01482330,shark,any of numerous elongate mostly marine carnivorous fishes with heterocercal caudal fins and tough skin covered with small toothlike scales,,,,,,,,,
sheep,n02411705,n10588074,sheep,a timid defenseless simpleton who is readily preyed upon,n02411705,sheep,woolly usually horned ruminant mammal related to the goat,n10587894,sheep,a docile and vulnerable person who would rather follow than make an independent decision,,,,,,,,,
shrew,n01891633,n10594147,"shrew, termagant",a scolding nagging bad-tempered woman,n01891633,"shrew, shrewmouse",small mouselike mammal with a long snout; related to moles,,,,,,,,,,,,
skunk,n02445715,n10539715,"rotter, dirty_dog, rat, skunk, stinker, stinkpot, bum, puke, crumb, lowlife, scum_bag, so-and-so, git",a person who is deemed to be despicable or contemptible,n02445715,"skunk, polecat, wood_pussy",American musteline mammal typically ejecting an intensely malodorous fluid when startled; in some classifications put in a separate subfamily Mephitinae,n03990834,"pot, grass, green_goddess, dope, weed, gage, sess, sens, smoke, skunk, locoweed, Mary_Jane",street names for marijuana,n07476495,"shutout, skunk",a defeat in a game where one side fails to score,,,,,,
snail,n01944390,n01944390,snail,freshwater or marine or terrestrial gastropod mollusk usually having an external enclosing spiral shell,n07782475,"escargot, snail",edible terrestrial snail usually served in the shell with a sauce of melted butter and garlic,,,,,,,,,,,,
snake,n01726692,n10615702,"snake, snake_in_the_grass",a deceitful or treacherous person,n01726692,"snake, serpent, ophidian",limbless scaly elongate reptile; some are venomous,n04248010,snake,"something long, thin, and flexible that resembles a snake",n09438554,"Snake, Snake_River",a tributary of the Columbia River that rises in Wyoming and flows westward; discovered in 1805 by the Lewis and Clark Expedition,n09307552,"Hydra, Snake",a long faint constellation in the southern hemisphere near the equator stretching between Virgo and Cancer,,,
sparrow,n01527347,n01527347,"hedge_sparrow, sparrow, dunnock, Prunella_modularis",small brownish European songbird,n01539573,"sparrow, true_sparrow",any of several small dull-colored singing birds feeding on seeds or insects,,,,,,,,,,,,
spider,n01772222,n01772222,spider,"predatory arachnid with eight legs, two poison fangs, two feelers, and usually two silk-spinning organs at the back end of the body; they spin silk to make cocoons for eggs or traps for prey",n04275283,spider,a skillet made of cast iron,n06579715,"spider, wanderer",a computer program that prowls the internet looking for publicly accessible resources that can be added to a database; the database can then be searched with a search engine,,,,,,,,,
squirrel,n02355227,n02355227,squirrel,a kind of arboreal rodent having a long bushy tail,n14766189,squirrel,the fur of a squirrel,,,,,,,,,,,,
swan,n01858441,n01858441,swan,stately heavy-bodied aquatic bird with very long neck and usually white plumage as adult,,,,,,,,,,,,,,,
tarantula,n01774750,n01775370,"European_wolf_spider, tarantula, Lycosa_tarentula",large southern European spider once thought to be the cause of tarantism (uncontrollable bodily movement),n01774750,tarantula,large hairy tropical spider with fangs that can inflict painful but not highly venomous bites,,,,,,,,,,,,
tiger,n02129604,n10710632,tiger,a fierce or audacious person,n02129604,"tiger, Panthera_tigris",large feline of forests in most of Asia having a tawny coat with black stripes; endangered,n08032023,"Liberation_Tigers_of_Tamil_Eelam, LTTE, Tamil_Tigers, Tigers, World_Tamil_Association, World_Tamil_Movement",a terrorist organization in Sri Lanka that began in 1970 as a student protest over the limited university access for Tamil students; currently seeks to establish an independent Tamil state called Eelam; relies on guerilla strategy including terrorist tactics that target key government and military personnel,,,,,,,,,
tortoise,n01670092,n01670092,tortoise,usually herbivorous land turtles having clawed elephant-like limbs; worldwide in arid area except Australia and Antarctica,,,,,,,,,,,,,,,
turtle,n01662784,n01662784,turtle,any of various aquatic and land reptiles having a bony shell and flipper-like limbs for swimming,n04502197,"turtleneck, turtle, polo-neck",a sweater or jersey with a high close-fitting collar,,,,,,,,,,,,
wasp,n02212062,n09641578,"WASP, white_Anglo-Saxon_Protestant",a white person of Anglo-Saxon ancestry who belongs to a Protestant denomination,n02212062,wasp,social or solitary hymenopterans typically having a slender body with the abdomen attached by a narrow stalk and having a formidable sting,,,,,,,,,,,,
weasel,n02441942,n10771990,weasel,a person who is regarded as treacherous or sneaky,n02441942,weasel,small carnivorous mammal with short legs and elongated body and neck,,,,,,,,,,,,
whale,n02062744,n10129133,"giant, hulk, heavyweight, whale",a very large person; impressive in size or qualities,n02062744,whale,any of the larger cetacean mammals having a streamlined body and breathing through a blowhole on the head,,,,,,,,,,,,
wolf,n02114100,n09845589,"beast, wolf, savage, brute, wildcat",a cruelly rapacious person,n10787197,"wolf, woman_chaser, skirt_chaser, masher",a man who is aggressive in making amorous advances to women,n02114100,wolf,any of various predatory carnivorous canine mammals of North America and Eurasia that usually hunt in packs,n11394398,"Wolf, Hugo_Wolf",Austrian composer (1860-1903),n11394214,"Wolf, Friedrich_August_Wolf",German classical scholar who claimed that the Iliad and Odyssey were composed by several authors (1759-1824),,,
zebra,n02391049,n02391049,zebra,any of several fleet black-and-white striped African equines,,,,,,,,,,,,,,,
